Course,Daytime evening attendance,Displaced,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,Curricular units 1st sem enrolled,Curricular units 1st sem approved,Curricular units 1st sem grade,Curricular units 2nd sem enrolled,Curricular units 2nd sem approved,Curricular units 2nd sem grade,Target
2,1,1,0,1,1,0,20,0,0,0.0,0,0,0.0,0
11,1,1,0,0,1,0,19,6,6,14.0,6,6,13.6666666666667,2
5,1,1,0,0,1,0,19,6,0,0.0,6,0,0.0,0
15,1,1,0,1,0,0,20,6,6,13.4285714285714,6,5,12.4,2
3,0,0,0,1,0,0,45,6,5,12.3333333333333,6,6,13.0,2
17,0,0,1,1,1,0,50,5,5,11.8571428571429,5,5,11.5,2
12,1,1,0,1,0,1,18,7,7,13.3,8,8,14.345,2
11,1,1,0,0,1,0,22,5,0,0.0,5,0,0.0,0
10,1,0,0,1,0,1,21,6,6,13.875,6,6,14.1428571428571,2
10,1,1,1,0,0,0,18,6,5,11.4,6,2,13.5,0
14,1,1,0,1,0,0,18,6,6,12.3333333333333,6,5,14.2,2
12,1,1,0,1,0,1,18,8,7,13.2142857142857,8,7,13.2142857142857,2
16,1,1,0,1,0,0,19,6,0,0.0,6,0,0.0,0
11,1,1,0,1,0,1,21,6,6,10.5714285714286,6,5,11.0,2
6,1,1,0,1,0,1,18,5,4,13.25,5,5,12.0,2
15,1,1,0,1,0,0,20,6,5,13.2,6,0,0.0,0
10,1,1,0,1,0,0,18,6,1,12.0,6,2,11.0,1
12,1,1,0,1,0,0,18,7,7,13.30625,8,8,14.545,2
8,1,1,0,1,0,0,20,5,4,12.5,5,4,12.25,2
16,1,1,0,1,0,0,18,7,6,11.6666666666667,7,6,13.5,1
2,1,0,0,1,0,1,21,0,0,0.0,0,0,0.0,2
13,1,1,0,1,0,0,20,7,7,11.4375,8,8,11.425,1
12,1,1,0,1,0,0,18,8,7,12.8571428571429,8,7,12.8571428571429,2
14,1,1,0,1,0,1,19,6,6,13.375,6,6,12.2857142857143,2
12,1,0,0,1,0,0,19,7,6,13.2966666666667,8,7,14.1142857142857,2
10,1,1,1,1,0,1,18,6,5,11.6,6,4,11.0,1
10,1,1,0,1,0,0,21,6,6,11.375,6,6,13.2857142857143,2
6,1,1,0,1,0,0,18,5,5,12.6666666666667,5,4,13.0,1
9,1,1,0,1,0,0,20,5,5,12.0,5,5,12.3333333333333,2
12,1,1,0,1,1,0,19,7,6,12.9333333333333,7,6,13.7166666666667,1
4,1,0,0,1,1,0,21,6,5,11.8571428571429,6,5,10.5714285714286,1
5,1,1,0,1,1,0,20,6,6,12.8333333333333,6,4,13.4,2
9,1,0,0,0,1,0,18,5,3,11.3333333333333,5,2,13.5,1
3,0,1,0,1,0,0,19,6,6,12.6666666666667,6,6,14.375,2
17,0,0,0,1,1,0,34,5,5,12.4,5,5,13.4285714285714,2
1,1,0,1,0,1,0,37,7,0,0.0,7,1,10.0,0
7,1,1,0,1,1,0,43,5,0,0.0,5,0,0.0,0
9,1,0,0,1,0,0,55,5,1,10.0,5,2,12.0,0
17,0,1,0,1,0,0,39,5,5,11.0,5,5,11.6,2
8,1,0,1,0,0,0,20,6,3,11.6666666666667,6,3,12.0,0
15,1,0,1,1,0,0,18,6,4,12.75,5,0,0.0,0
9,1,1,0,1,0,0,22,5,5,14.8,5,5,15.8,2
12,1,1,0,1,0,0,22,7,5,13.928,8,7,14.3428571428571,2
15,1,0,0,0,0,0,20,6,4,13.0,6,5,13.8,0
17,0,0,0,1,0,0,29,5,0,0.0,5,0,0.0,0
17,0,0,0,1,0,0,24,5,2,11.5,5,3,14.3333333333333,1
10,1,1,0,1,0,0,18,6,6,11.6666666666667,6,5,13.2,2
12,1,1,0,1,0,1,22,7,6,13.5166666666667,8,7,13.7714285714286,2
3,0,0,0,1,0,1,21,6,6,11.5,6,6,13.2857142857143,2
10,1,0,0,1,0,1,19,6,5,12.3333333333333,6,6,12.8333333333333,2
11,1,0,0,1,0,1,24,6,6,13.6666666666667,6,6,14.1666666666667,2
12,1,1,0,1,0,1,19,8,6,11.8333333333333,8,6,11.8333333333333,1
15,1,1,0,1,0,1,20,6,4,14.0,6,3,11.0,1
8,1,0,0,1,0,0,19,5,5,14.7142857142857,5,5,15.8,2
17,0,0,0,1,0,0,27,5,5,10.6,5,5,11.0,0
12,1,1,0,1,0,0,18,7,7,13.0444444444444,8,8,13.595,2
11,1,0,0,1,0,0,39,6,0,0.0,6,0,0.0,0
8,1,1,0,1,0,0,27,6,5,13.0,11,10,12.9,0
12,1,1,0,1,0,0,18,8,8,14.935,8,8,14.935,2
2,1,1,0,1,0,0,18,0,0,0.0,0,0,0.0,1
12,1,0,0,1,0,0,18,7,6,13.1333333333333,8,7,12.2214285714286,2
10,1,0,0,1,0,1,21,6,6,12.0,6,6,12.0,2
2,1,1,0,1,1,1,19,0,0,0.0,0,0,0.0,1
5,1,1,0,1,1,0,19,6,5,11.4,6,1,10.0,1
5,1,0,0,1,1,0,24,6,0,0.0,6,0,0.0,1
12,1,1,0,1,1,0,29,7,5,11.9,8,5,11.0,0
2,1,1,0,1,1,1,19,0,0,0.0,0,0,0.0,2
4,1,1,0,1,1,0,23,6,6,12.5714285714286,6,6,12.4285714285714,2
9,1,0,1,1,1,0,19,5,5,11.2,5,4,10.75,0
11,1,0,0,1,1,0,26,6,6,12.0,6,5,10.8,1
9,1,0,0,1,1,0,18,5,0,0.0,5,0,0.0,1
12,1,0,0,1,1,0,24,7,7,11.975,8,8,13.75,2
2,1,1,0,1,1,0,19,0,0,0.0,0,0,0.0,0
11,1,1,0,1,1,0,18,6,3,11.6666666666667,6,1,12.0,0
15,1,1,0,1,1,0,18,6,6,12.3333333333333,6,3,12.3333333333333,2
9,1,1,1,1,1,0,18,5,3,10.3333333333333,5,3,10.8571428571429,0
11,1,1,0,1,1,1,21,6,4,10.5,6,1,11.0,0
15,1,1,1,1,1,1,19,6,6,13.6666666666667,6,6,13.3333333333333,2
12,1,0,0,1,1,1,22,7,7,14.8428571428571,8,8,15.0555555555556,2
3,0,0,0,1,1,0,33,6,6,12.0,6,6,11.6666666666667,2
16,1,1,0,1,1,0,20,6,5,12.2,6,5,12.2,0
17,0,1,0,1,1,0,35,1,0,0.0,5,0,0.0,0
4,1,0,1,1,1,0,24,12,6,12.1666666666667,12,10,13.3,0
11,1,0,0,1,1,0,18,5,5,12.0,5,3,11.3333333333333,1
3,0,1,0,1,0,0,33,6,6,11.0,6,5,11.0,2
12,1,1,0,1,0,1,22,8,7,13.08,8,7,13.08,2
14,1,0,0,1,0,1,25,5,4,10.5,5,5,11.6,2
5,1,1,0,1,1,0,20,6,6,10.6666666666667,6,5,11.2,2
9,1,1,0,1,1,0,23,5,4,14.0,5,5,13.8,1
7,1,1,1,1,1,0,18,5,2,10.0,5,0,0.0,1
12,1,0,0,1,1,0,24,7,0,0.0,7,0,0.0,0
15,1,1,0,0,0,0,21,6,6,14.0,6,6,13.5,2
8,1,0,0,1,0,0,26,6,2,12.0,6,0,0.0,0
16,1,0,0,1,0,0,39,6,3,12.6666666666667,6,0,0.0,0
3,0,0,0,1,0,0,44,8,8,11.875,6,6,12.3333333333333,2
7,1,1,0,1,1,0,19,5,5,14.0,5,3,13.25,1
15,1,1,0,1,0,0,18,6,6,13.6666666666667,6,6,13.3333333333333,2
12,1,1,0,1,0,1,18,7,7,13.75,8,8,14.4777777777778,2
6,1,1,0,1,0,0,19,5,5,14.2,5,5,13.8,1
12,1,1,1,0,0,0,19,7,4,11.96,7,0,0.0,0
6,1,0,0,1,0,0,21,10,8,12.875,9,5,13.4,0
2,1,1,0,1,0,0,20,0,0,0.0,0,0,0.0,2
3,0,1,0,1,0,0,36,6,0,0.0,6,0,0.0,0
4,1,0,0,1,0,0,43,18,18,14.6315789473684,13,13,14.2307692307692,2
16,1,1,0,1,0,0,19,6,0,0.0,6,0,0.0,0
5,1,0,1,1,0,0,20,10,10,13.0,11,11,12.2727272727273,2
10,1,1,0,1,0,0,19,6,0,0.0,6,0,0.0,0
6,1,1,0,1,0,0,20,6,4,14.2,6,4,13.25,0
12,1,1,0,1,0,0,20,7,6,13.2666666666667,7,5,12.3,0
16,1,1,0,1,0,0,20,7,6,11.6666666666667,7,3,13.0,1
10,1,1,0,1,0,0,18,6,6,13.8571428571429,6,6,15.0,2
9,1,1,0,1,0,1,18,5,3,13.0,5,3,11.0,1
6,1,1,0,1,0,0,19,5,5,13.4,5,5,12.8,2
15,1,1,0,1,0,0,18,6,6,12.6666666666667,6,6,12.5714285714286,2
12,1,1,0,1,0,0,18,7,6,12.5166666666667,7,6,12.5166666666667,0
12,1,0,0,1,0,0,20,7,6,11.6166666666667,7,7,13.0,1
10,1,1,0,1,0,1,20,6,2,10.0,6,4,10.75,1
9,1,0,0,1,0,0,20,5,3,10.3333333333333,5,3,10.6666666666667,1
6,1,0,0,1,0,0,18,5,5,13.1428571428571,5,5,11.4,2
9,1,0,0,1,0,0,18,5,5,12.6,5,5,14.0,2
11,1,1,0,1,0,0,21,6,3,11.0,6,2,11.0,0
9,1,1,0,1,0,0,19,5,5,10.8,5,4,11.25,2
2,1,0,0,1,0,0,19,0,0,0.0,0,0,0.0,0
14,1,0,0,1,0,1,19,5,5,12.8,5,5,14.2,2
6,1,1,0,1,0,0,19,6,6,14.1666666666667,6,6,12.2,2
13,1,1,0,1,0,0,19,7,5,12.1,7,0,0.0,0
6,1,1,0,1,0,0,20,6,6,14.1666666666667,6,5,13.7777777777778,2
16,1,1,0,1,0,1,18,6,5,12.8,6,5,13.4,1
10,1,1,0,1,0,0,18,6,6,13.0,6,6,13.6666666666667,2
12,1,1,0,1,0,0,19,7,7,13.4671428571429,8,8,15.0111111111111,2
12,1,1,0,1,0,1,18,7,7,13.2375,8,7,13.7428571428571,0
5,1,1,0,1,0,0,18,6,6,12.3333333333333,6,6,13.0,2
9,1,1,0,1,0,0,19,5,5,12.4,5,5,14.6,2
12,1,1,0,1,0,0,19,7,5,14.0,7,0,0.0,0
10,1,0,0,1,0,0,20,9,9,11.6666666666667,7,7,11.7142857142857,2
14,1,0,1,0,0,1,19,6,5,12.0,6,4,12.5,0
14,1,1,0,1,0,0,20,5,4,12.2,5,4,11.5,2
15,1,0,1,1,0,1,18,6,6,14.8333333333333,6,6,14.8333333333333,2
12,1,0,0,1,0,1,20,7,5,13.188,8,7,12.8928571428571,1
12,1,0,0,1,0,0,18,7,7,17.125,8,8,17.5875,2
12,1,1,0,1,0,0,19,7,6,12.6666666666667,7,6,12.6666666666667,2
15,1,1,0,1,0,1,19,6,6,12.6666666666667,6,5,12.0,2
9,1,1,1,0,0,0,22,5,0,0.0,5,0,0.0,1
10,1,1,0,1,0,1,19,6,6,11.3333333333333,6,6,11.5,2
12,1,1,0,1,0,1,19,7,7,13.605,8,8,12.33125,2
16,1,1,0,1,0,1,19,6,5,12.0,6,5,10.8,2
11,1,1,0,1,0,0,19,5,0,0.0,5,0,0.0,0
11,1,1,0,1,0,0,20,6,5,11.2,6,3,11.6666666666667,0
9,1,0,0,1,0,0,18,5,5,13.375,5,5,14.1666666666667,2
12,1,0,0,1,0,1,20,7,6,13.8633333333333,8,7,14.1785714285714,2
2,1,1,0,1,0,0,18,0,0,0.0,0,0,0.0,1
6,1,0,0,1,0,0,19,5,5,12.4,5,5,13.4,2
16,1,1,0,1,0,0,18,6,3,12.3333333333333,6,5,10.8333333333333,1
16,1,1,0,1,0,0,18,6,6,13.3333333333333,6,5,11.8,2
16,1,1,0,1,0,0,21,6,3,12.6666666666667,6,3,10.0,0
16,1,0,0,1,0,0,19,6,6,12.0,6,4,11.5,0
9,1,0,0,1,0,1,18,5,5,10.6,5,5,11.8,2
10,1,1,0,1,0,1,18,6,6,12.25,6,6,11.8571428571429,2
10,1,1,0,1,0,0,20,6,4,11.0,6,6,11.8333333333333,2
3,0,0,0,1,0,1,24,6,5,11.0,6,5,12.6,2
14,1,0,0,1,0,0,19,6,6,13.1666666666667,6,6,13.0,0
12,1,1,0,1,0,1,18,7,7,12.8555555555556,8,7,12.7611111111111,2
12,1,1,0,1,0,0,18,7,7,14.91875,8,8,15.355,2
16,1,1,0,1,0,0,21,6,4,11.5,6,3,11.0,0
14,1,0,0,1,0,0,19,5,5,14.2,5,5,14.2,2
15,1,0,0,1,0,1,19,6,6,12.5,6,6,13.0,2
4,1,0,1,1,0,0,47,1,0,0.0,6,0,0.0,1
